ID,Accession,Target,TargetID,Experiment,Literature,Tissue
FOXD1,2297,FOS,2353,Computational,31701148,Not Applicable
CREB1,1385,DUSP1,1843,Computational,31701148,Not Applicable
CREB1,1385,FOS,2353,Computational,bav095,Not Applicable
FOXC1,2296,NFIL3,4783,Computational,31701148,Not Applicable
FOXC1,2296,DUSP1,1843,Computational,31701148,Not Applicable
FOXC1,2296,FOS,2353,Computational,31701148,Not Applicable
GATA2,2624,NFIL3,4783,Computational,31701148,Not Applicable
FOXL1,2300,NFIL3,4783,Computational,31701148,Not Applicable
YY1,7528,DUSP1,1843,Computational,31701148,Not Applicable
SRF,6722,NFIL3,4783,Computational,31701148,Not Applicable
SRF,6722,FOS,2353,Computational,bav095,Not Applicable
STAT3,6774,NFIL3,4783,Computational,31701148,Not Applicable
STAT3,6774,DUSP1,1843,Computational,31701148,Not Applicable
HNF4A,3172,FOS,2353,Computational,31701148,Not Applicable
E2F1,1869,NFIL3,4783,Computational,31701148,Not Applicable
E2F1,1869,DUSP1,1843,Computational,16604092,Not Applicable
E2F1,1869,FOS,2353,Computational,31701148,Not Applicable
HINFP,25988,DDIT3,1649,Computational,31701148,Not Applicable
SP1,6667,NFIL3,4783,Computational,31701148,Not Applicable
SP1,6667,DUSP1,1843,Computational,31701148,Not Applicable
TFAP2A,7020,DUSP1,1843,Computational,31701148,Not Applicable
TFAP2A,7020,FOS,2353,Computational,31701148,Not Applicable
E2F6,1876,FOS,2353,Computational,31701148,Not Applicable
RELA,5970,FOS,2353,Computational,31701148,Not Applicable
RELA,5970,DDIT3,1649,Computational,31701148,Not Applicable
MAX,4149,NFIL3,4783,Computational,31701148,Not Applicable
ELK1,2002,DDIT3,1649,Computational,31701148,Not Applicable
ESR1,2099,DUSP1,1843,Computational,31701148,Not Applicable
FOXA1,3169,FOS,2353,Computational,31701148,Not Applicable
SREBF2,6721,FOS,2353,Computational,31701148,Not Applicable
SREBF2,6721,DDIT3,1649,Computational,31701148,Not Applicable
NRF1,4899,DDIT3,1649,Computational,31701148,Not Applicable
EGR1,1958,NFIL3,4783,Computational,31701148,Not Applicable
EGR1,1958,DUSP1,1843,Computational,31701148,Not Applicable
SOX10,6663,DDIT3,1649,Computational,31701148,Not Applicable
NFYB,4801,DDIT3,1649,Computational,31701148,Not Applicable
